timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779170945818,48,SSE 探活 Health,200,,SSE 流式 Chat 压测 2-1,text,true,,671,127,1,1,http://localhost/api/agent/health,42,0,29
1779170945876,30,SSE 创建会话,200,,SSE 流式 Chat 压测 2-1,text,true,,410,196,1,1,http://localhost/api/agent/sessions,30,0,0
1779170945912,6923,SSE 流式 Chat,200,,SSE 流式 Chat 压测 2-1,text,true,,6194,249,1,1,http://localhost/api/agent/chat/stream?user_id=1&session_id=8e66c5b3ff0d44ecb12100dc3ec68972&message=%E6%9C%80%E8%BF%91%E6%80%BB%E6%98%AF%E5%A4%B1%E7%9C%A0,613,0,0
1779170952836,5,SSE 探活 Health,200,,SSE 流式 Chat 压测 2-1,text,true,,671,127,1,1,http://localhost/api/agent/health,5,0,0
1779170952844,22,SSE 创建会话,200,,SSE 流式 Chat 压测 2-1,text,true,,410,196,1,1,http://localhost/api/agent/sessions,22,0,0
1779170952868,1461,SSE 流式 Chat,200,,SSE 流式 Chat 压测 2-1,text,true,,1229,222,1,1,http://localhost/api/agent/chat/stream?user_id=1&session_id=ef46810e72974cf5925c42d37b1ee0b3&message=%E5%85%B3%E8%8A%82%E7%97%9B,455,0,0
1779170954332,9,SSE 探活 Health,200,,SSE 流式 Chat 压测 2-1,text,true,,671,127,1,1,http://localhost/api/agent/health,9,0,0
1779170954343,35,SSE 创建会话,200,,SSE 流式 Chat 压测 2-1,text,true,,410,196,1,1,http://localhost/api/agent/sessions,35,0,0
1779170954380,5730,SSE 流式 Chat,200,,SSE 流式 Chat 压测 2-1,text,true,,6073,231,1,1,http://localhost/api/agent/chat/stream?user_id=1&session_id=05adb863ec54414893f773f5e318f9b0&message=%E8%83%83%E9%85%B8%E8%BF%87%E5%A4%9A,539,0,0
1779170960113,7,SSE 探活 Health,200,,SSE 流式 Chat 压测 2-1,text,true,,671,127,1,1,http://localhost/api/agent/health,7,0,0
1779170960123,34,SSE 创建会话,200,,SSE 流式 Chat 压测 2-1,text,true,,410,196,1,1,http://localhost/api/agent/sessions,33,0,0
1779170960159,1591,SSE 流式 Chat,200,,SSE 流式 Chat 压测 2-1,text,true,,1624,240,1,1,http://localhost/api/agent/chat/stream?user_id=1&session_id=caee48dc903e4e9ba467b3591a0f763a&message=%E8%A1%80%E5%8E%8B%E6%9C%89%E7%82%B9%E9%AB%98,409,0,0
1779170961753,6,SSE 探活 Health,200,,SSE 流式 Chat 压测 2-1,text,true,,671,127,1,1,http://localhost/api/agent/health,6,0,0
1779170961762,26,SSE 创建会话,200,,SSE 流式 Chat 压测 2-1,text,true,,410,196,1,1,http://localhost/api/agent/sessions,26,0,0
1779170961790,4665,SSE 流式 Chat,200,,SSE 流式 Chat 压测 2-1,text,true,,5271,258,1,1,http://localhost/api/agent/chat/stream?user_id=1&session_id=d17d7e4c5f8746189b322abbc918bf41&message=%E7%9A%AE%E8%82%A4%E8%BF%87%E6%95%8F%E8%B5%B7%E7%BA%A2%E7%96%B9,275,0,0
1779170966458,7,SSE 探活 Health,200,,SSE 流式 Chat 压测 2-1,text,true,,671,127,1,1,http://localhost/api/agent/health,7,0,0
1779170966468,26,SSE 创建会话,200,,SSE 流式 Chat 压测 2-1,text,true,,410,196,1,1,http://localhost/api/agent/sessions,26,0,0
1779170966496,1788,SSE 流式 Chat,200,,SSE 流式 Chat 压测 2-1,text,true,,2431,240,1,1,http://localhost/api/agent/chat/stream?user_id=1&session_id=068ebe33fc5a4db29b6b82a5d888fdb1&message=%E8%A1%80%E5%8E%8B%E6%9C%89%E7%82%B9%E9%AB%98,363,0,0
1779170968286,5,SSE 探活 Health,200,,SSE 流式 Chat 压测 2-1,text,true,,671,127,1,1,http://localhost/api/agent/health,5,0,0
1779170968294,18,SSE 创建会话,200,,SSE 流式 Chat 压测 2-1,text,true,,410,196,1,1,http://localhost/api/agent/sessions,18,0,0
1779170968314,1740,SSE 流式 Chat,200,,SSE 流式 Chat 压测 2-1,text,true,,1866,240,1,1,http://localhost/api/agent/chat/stream?user_id=1&session_id=8f1cc084a64e4a9ea5ffe1119ead06eb&message=%E5%BF%83%E8%B7%B3%E6%9C%89%E7%82%B9%E5%BF%AB,384,0,0
1779170970059,7,SSE 探活 Health,200,,SSE 流式 Chat 压测 2-1,text,true,,671,127,1,1,http://localhost/api/agent/health,7,0,0
1779170970069,23,SSE 创建会话,200,,SSE 流式 Chat 压测 2-1,text,true,,410,196,1,1,http://localhost/api/agent/sessions,23,0,0
1779170970095,2108,SSE 流式 Chat,200,,SSE 流式 Chat 压测 2-1,text,true,,2454,240,1,1,http://localhost/api/agent/chat/stream?user_id=1&session_id=bfe49456503f4cb4b3a1d82a7c8e8139&message=%E8%80%B3%E9%B8%A3%E6%80%8E%E4%B9%88%E5%8A%9E,371,0,0
1779170972206,8,SSE 探活 Health,200,,SSE 流式 Chat 压测 2-1,text,true,,671,127,1,1,http://localhost/api/agent/health,8,0,0
1779170972217,26,SSE 创建会话,200,,SSE 流式 Chat 压测 2-1,text,true,,410,196,1,1,http://localhost/api/agent/sessions,26,0,0
1779170972245,6059,SSE 流式 Chat,200,,SSE 流式 Chat 压测 2-1,text,true,,5790,267,1,1,http://localhost/api/agent/chat/stream?user_id=1&session_id=8acce6d7c7284751bd545345b7028849&message=%E8%85%BF%E6%8A%BD%E7%AD%8B%E6%98%AF%E4%BB%80%E4%B9%88%E5%8E%9F%E5%9B%A0,391,0,0
1779170978308,10,SSE 探活 Health,200,,SSE 流式 Chat 压测 2-1,text,true,,671,127,1,1,http://localhost/api/agent/health,10,0,0
1779170978322,22,SSE 创建会话,200,,SSE 流式 Chat 压测 2-1,text,true,,410,196,1,1,http://localhost/api/agent/sessions,21,0,0
1779170978348,3354,SSE 流式 Chat,200,,SSE 流式 Chat 压测 2-1,text,true,,3955,240,1,1,http://localhost/api/agent/chat/stream?user_id=1&session_id=2f334f17fc974654a519d9a76cfb03ce&message=%E4%BE%BF%E7%A7%98%E6%80%8E%E4%B9%88%E5%8A%9E,226,0,0
1779170981704,6,SSE 探活 Health,200,,SSE 流式 Chat 压测 2-1,text,true,,671,127,1,1,http://localhost/api/agent/health,6,0,0
1779170981713,24,SSE 创建会话,200,,SSE 流式 Chat 压测 2-1,text,true,,410,196,1,1,http://localhost/api/agent/sessions,24,0,0
1779170981739,7314,SSE 流式 Chat,200,,SSE 流式 Chat 压测 2-1,text,true,,5700,267,1,1,http://localhost/api/agent/chat/stream?user_id=1&session_id=0b72be2dade94bfe9b17bfc227131ca4&message=%E8%85%BF%E6%8A%BD%E7%AD%8B%E6%98%AF%E4%BB%80%E4%B9%88%E5%8E%9F%E5%9B%A0,317,0,0
1779170989059,9,SSE 探活 Health,200,,SSE 流式 Chat 压测 2-1,text,true,,671,127,1,1,http://localhost/api/agent/health,9,0,0
1779170989071,23,SSE 创建会话,200,,SSE 流式 Chat 压测 2-1,text,true,,410,196,1,1,http://localhost/api/agent/sessions,23,0,0
1779170989096,4230,SSE 流式 Chat,200,,SSE 流式 Chat 压测 2-1,text,true,,4526,240,1,1,http://localhost/api/agent/chat/stream?user_id=1&session_id=30b233f3d16c4296a0629707ea61da63&message=%E8%80%B3%E9%B8%A3%E6%80%8E%E4%B9%88%E5%8A%9E,351,0,0
1779170993331,9,SSE 探活 Health,200,,SSE 流式 Chat 压测 2-1,text,true,,671,127,1,1,http://localhost/api/agent/health,9,0,0
1779170993344,28,SSE 创建会话,200,,SSE 流式 Chat 压测 2-1,text,true,,410,196,1,1,http://localhost/api/agent/sessions,28,0,0
1779170993376,2429,SSE 流式 Chat,200,,SSE 流式 Chat 压测 2-1,text,true,,2687,240,1,1,http://localhost/api/agent/chat/stream?user_id=1&session_id=f4279cc48143450e95c9cfc993852bf8&message=%E5%BF%83%E8%B7%B3%E6%9C%89%E7%82%B9%E5%BF%AB,296,0,0
